Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
475.000 TL;Ford;Focus;1.6 TDCi Collection;2006.0;193.600 km;Düz;55 lt;Gri;1560 cc;110 hp;Sedan;1 değişen, 5 boyalı
355.000 TL;Ford;Fusion;1.4 TDCi Comfort ASM;2005.0;257.000 km;Yarı Otomatik;45 lt;Gri (Gümüş);1399 cc;68 hp;Hatchback/5;6 değişen, 3 boyalı
1.100.000 TL;Ford;Mondeo;1.5 Ecoboost Titanium;2016.0;117.680 km;Otomatik;62 lt;Beyaz;1498 cc;160 hp;Sedan;1 boyalı
769.000 TL;Ford;Fiesta;1.25 Trend X;2016.0;108.000 km;Düz;42 lt;Beyaz;1242 cc;82 hp;Hatchback/5;1 boyalı
398.000 TL;Ford;Focus;1.6 Ghia;2001.0;306.000 km;Düz;55 lt;Lacivert;1596 cc;100 hp;Sedan;Belirtilmemiş
880.000 TL;Ford;C-Max;1.6 TDCi Titanium X;2012.0;145.000 km;Düz;53 lt;Beyaz;1560 cc;115 hp;MPV;4 boyalı
339.000 TL;Ford;Fiesta;1.4 TDCi Comfort;2007.0;220.000 km;Düz;45 lt;Gri;1399 cc;68 hp;Hatchback/5;2 değişen
1.285.000 TL;Ford;Focus;1.5 TDCi Trend X;2020.0;160.000 km;Otomatik;47 lt;Beyaz;1500 cc;120 hp;Hatchback/5;Belirtilmemiş
360.000 TL;Ford;Fiesta;1.4 TDCi Comfort;2004.0;249.500 km;Otomatik;45 lt;Gri;1399 cc;68 hp;Hatchback/5;Belirtilmemiş
540.000 TL;Ford;C-Max;1.6 TDCi Ghia;2005.0;237.000 km;Düz;55 lt;Siyah;1560 cc;110 hp;MPV;2 boyalı
450.000 TL;Ford;Focus;1.6 Ambiente;2001.0;275.000 km;Düz;55 lt;Beyaz;1596 cc;100 hp;Sedan;Belirtilmemiş
775.000 TL;Ford;Focus;1.6 TDCi Trend X;2013.0;199.500 km;Düz;53 lt;Beyaz;1560 cc;95 hp;Sedan;1 değişen, 2 boyalı
135.000 TL;Ford;Escort;1.6 CLX;1995.0;251.000 km;Düz;55 lt;Beyaz;1597 cc;90 hp;Hatchback/5;Tamamı orjinal
440.000 TL;Ford;Focus;1.6 TDCi Collection;2008.0;316.000 km;Düz;55 lt;Gri;1560 cc;110 hp;Hatchback/3;Belirtilmemiş
935.000 TL;Ford;Focus;1.5 TDCi Trend X;2018.0;120.000 km;Yarı Otomatik;55 lt;Beyaz;1499 cc;120 hp;Sedan;3 değişen
700.000 TL;Ford;Mondeo;2.0 TDCi Trend;2012.0;245.000 km;Otomatik;70 lt;Beyaz;1997 cc;140 hp;Sedan;Belirtilmemiş
645.000 TL;Ford;Fiesta;1.25 Trend X;2016.0;167.000 km;Düz;42 lt;Beyaz;1242 cc;82 hp;Hatchback/5;Belirtilmemiş
855.000 TL;Ford;Fiesta;1.6 Titanium;2013.0;109.000 km;Yarı Otomatik;42 lt;Kırmızı;1596 cc;105 hp;Hatchback/5;6 boyalı
425.000 TL;Ford;Fiesta;1.4 TDCi Comfort;2005.0;167.750 km;Düz;45 lt;Füme;1399 cc;68 hp;Hatchback/5;Belirtilmemiş
192.000 TL;Ford;Fiesta;1.4 TDCi Comfort;2009.0;409.000 km;Düz;45 lt;Beyaz;1399 cc;68 hp;Hatchback/3;Belirtilmemiş
680.000 TL;Ford;Focus;1.6 TDCi Ghia;2008.0;172.000 km;Düz;55 lt;Gri (Gümüş);1560 cc;110 hp;Sedan;Tamamı orjinal
620.000 TL;Ford;Focus;1.6 Comfort;2011.0;211.000 km;Düz;55 lt;Füme;1596 cc;100 hp;Hatchback/5;4 boyalı
900.000 TL;Ford;Focus;1.5 TDCi Titanium;2015.0;200.000 km;Yarı Otomatik;55 lt;Beyaz;1499 cc;120 hp;Sedan;1 değişen, 1 boyalı
245.000 TL;Ford;Fiesta;1.4 TDCi Comfort;2006.0;340.000 km;Düz;45 lt;Beyaz;1399 cc;68 hp;Hatchback/3;5 boyalı
1.535.000 TL;Ford;Focus;1.5 TDCi Trend X;2019.0;52.500 km;Otomatik;47 lt;Beyaz;1500 cc;120 hp;Sedan;Tamamı orjinal
640.000 TL;Ford;Focus;1.6 TDCi Collection;2011.0;140.000 km;Düz;55 lt;Beyaz;1560 cc;110 hp;Hatchback/5;4 boyalı
205.000 TL;Ford;Mondeo;2.0 GLX;1998.0;510.000 km;Düz;61 lt;Siyah;1988 cc;130 hp;Hatchback/5;Tamamı orjinal
580.000 TL;Ford;Mondeo;1.6 Titanium;2008.0;134.000 km;Düz;70 lt;Siyah;1596 cc;125 hp;Sedan;1 değişen, 2 boyalı
920.000 TL;Ford;Mondeo;1.6 TDCi Titanium;2016.0;220.000 km;Düz;Dizel;Kırmızı;;;Sedan;1 değişen, 1 boyalı
640.000 TL;Ford;Focus;1.6 Titanium;2009.0;192.000 km;Otomatik;55 lt;Gri;1596 cc;100 hp;Hatchback/5;3 değişen, 5 boyalı
430.000 TL;Ford;Fiesta;1.4 TDCi Trend;2012.0;332.000 km;Düz;45 lt;Gri (metalik);1398 cc;70 hp;Hatchback/5;3 boyalı
1.500.000 TL;Ford;Focus;1.6 Ti-VCT Trend X;2018.0;37.500 km;Düz;55 lt;Beyaz;1596 cc;125 hp;Sedan;Tamamı orjinal
610.000 TL;Ford;Focus;1.6 TDCi Trend;2008.0;215.000 km;Düz;55 lt;Gri;1560 cc;110 hp;Sedan;8 boyalı
760.000 TL;Ford;B-Max;1.4 Titanium;2013.0;109.500 km;Düz;48 lt;Beyaz;1388 cc;90 hp;MPV;Belirtilmemiş
155.000 TL;Ford;Escort;1.8 CLX;1995.0;290.000 km;Düz;55 lt;Beyaz;1796 cc;105 hp;Sedan;Belirtilmemiş
1.100.000 TL;Ford;Focus;1.5 TDCi Trend X;2019.0;260.000 km;Otomatik;47 lt;Beyaz;1500 cc;120 hp;Sedan;1 değişen
425.000 TL;Ford;Fiesta;1.4 Comfort;2006.0;223.000 km;Düz;45 lt;Beyaz;1388 cc;80 hp;Hatchback/5;2 değişen, 3 boyalı
435.000 TL;Ford;Fiesta;1.4 TDCi Comfort;2006.0;218.000 km;Düz;45 lt;Beyaz;1399 cc;68 hp;Hatchback/5;2 boyalı
755.000 TL;Ford;Focus;1.6 TDCi Style;2013.0;226.500 km;Düz;53 lt;Gri (Gümüş);1560 cc;115 hp;Sedan;1 değişen, 10 boyalı
385.000 TL;Ford;Focus;2.0 Sport Trend;2000.0;310.000 km;Düz;55 lt;Yeşil;1988 cc;130 hp;Hatchback/3;Belirtilmemiş
750.000 TL;Ford;Focus;1.6 Ti-VCT Titanium X;2014.0;247.000 km;Düz;LPG & Benzin;Beyaz;;;Sedan;1 değişen, 4 boyalı
175.000 TL;Ford;Escort;1.6 CLX;1994.0;250.000 km;Düz;55 lt;Bordo;1597 cc;90 hp;Sedan;Tamamı orjinal
750.000 TL;Ford;Mondeo;1.6 Titanium;2011.0;304.000 km;Düz;70 lt;Gri (titanyum);1596 cc;125 hp;Sedan;Belirtilmemiş
1.425.000 TL;Ford;Focus;1.5 TDCi Trend X;2020.0;135.000 km;Otomatik;47 lt;Beyaz;1500 cc;120 hp;Hatchback/5;Tamamı orjinal
710.000 TL;Ford;Focus;1.6 TDCi Trend X;2013.0;212.000 km;Düz;53 lt;Gri (Gümüş);1560 cc;95 hp;Sedan;1 değişen, 3 boyalı
215.000 TL;Ford;Mondeo;2.0 Ghia;1996.0;278.250 km;Düz;61 lt;Gri;1988 cc;130 hp;Sedan;Belirtilmemiş
560.000 TL;Ford;Focus;1.6 TDCi Titanium;2010.0;226.500 km;Düz;55 lt;Beyaz;1560 cc;110 hp;Hatchback/5;2 değişen, 5 boyalı
500.000 TL;Ford;Focus;1.6 Collection;2005.0;207.000 km;Düz;55 lt;Gri (Gümüş);1596 cc;100 hp;Hatchback/5;1 boyalı
585.000 TL;Ford;Mondeo;2.0 TDCi Titanium;2008.0;250.000 km;Otomatik;70 lt;Gri (Gümüş);1997 cc;130 hp;Hatchback/5;Belirtilmemiş
355.000 TL;Ford;Focus;1.6 TDCi Trend;2008.0;264.000 km;Düz;55 lt;Gri (titanyum);1560 cc;110 hp;Sedan;Belirtilmemiş
380.000 TL;Ford;Focus;1.6 TDCi Trend;2007.0;429.000 km;Düz;55 lt;Gri (Gümüş);1560 cc;110 hp;Sedan;1 değişen, 5 boyalı
945.000 TL;Ford;Focus;1.6 TDCi Style;2014.0;164.500 km;Düz;53 lt;Beyaz;1560 cc;115 hp;Sedan;Tamamı orjinal
526.500 TL;Ford;Focus;1.6 TDCi Collection;2011.0;240.000 km;Düz;55 lt;Gri;1560 cc;90 hp;Hatchback/5;4 değişen, 1 boyalı
190.000 TL;Ford;Escort;1.6 CLX;1997.0;79.000 km;Düz;55 lt;Kırmızı;1597 cc;90 hp;-;4 boyalı
585.000 TL;Ford;Focus;1.6 TDCi Collection;2011.0;285.000 km;Düz;55 lt;Beyaz;1560 cc;90 hp;Hatchback/5;8 boyalı
759.000 TL;Ford;Focus;1.6 Ti-VCT Trend X;2017.0;180.000 km;Düz;55 lt;Şampanya;1596 cc;125 hp;Hatchback/5;2 değişen, 4 boyalı
460.000 TL;Ford;C-Max;1.6 TDCi Ghia;2005.0;225.000 km;Düz;55 lt;Gri;1560 cc;110 hp;MPV;Belirtilmemiş
599.000 TL;Ford;Fusion;1.6 Lux;2006.0;177.000 km;Otomatik;45 lt;Mavi (metalik);1596 cc;100 hp;Hatchback/5;1 değişen, 2 boyalı
1.345.000 TL;Ford;Focus;1.5 TDCi Titanium;2020.0;105.000 km;Otomatik;47 lt;Beyaz;1500 cc;120 hp;Sedan;1 değişen, 2 boyalı
230.000 TL;Ford;Escort;1.6 CLX;1996.0;215.000 km;Düz;55 lt;Bej;1597 cc;90 hp;Sedan;11 boyalı
290.000 TL;Ford;Fusion;1.4 TDCi Comfort;2006.0;287.000 km;Düz;45 lt;Gri;1399 cc;68 hp;Hatchback/5;1 değişen, 12 boyalı
3.125.000 TL;Mercedes - Benz;C;C 180 AMG;2022.0;98.000 km;Otomatik;Benzin;Siyah;1601 - 1800 cm3;176 - 200 HP;Sedan;Tamamı orjinal
1.929.000 TL;Mercedes - Benz;C;C 180 Comfort 9G-Tronic;2017.0;132.000 km;Otomatik;41 lt;Beyaz;1595 cc;156 hp;Sedan;Tamamı orjinal
1.100.000 TL;Mercedes - Benz;C;C 180 BlueEFFICIENCY Fascination;2010.0;190.000 km;Otomatik;Benzin;Gri;1401 - 1600 cm3;151 - 175 HP;Sedan;Tamamı orjinal
1.795.000 TL;Mercedes - Benz;C;C 180 Comfort 9G-Tronic;2018.0;190.000 km;Otomatik;41 lt;Beyaz;1595 cc;156 hp;Sedan;Belirtilmemiş
1.720.000 TL;Mercedes - Benz;C;C 200 D AMG;2015.0;205.000 km;Otomatik;41 lt;Siyah;1598 cc;136 hp;Sedan;2 boyalı
2.845.000 TL;Mercedes - Benz;CLA;200 AMG+ 4Matic;2021.0;58.000 km;Yarı Otomatik;51 lt;Gri;1332 cc;163 hp;Coupe;Tamamı orjinal
615.000 TL;Mercedes - Benz;E;200;1990.0;375.000 km;Otomatik;LPG & Benzin;Şampanya;2001 - 2500 cm3;126 - 150 HP;Sedan;10 boyalı
895.000 TL;Mercedes - Benz;C;C 220 CDI AMG;2008.0;440.000 km;Otomatik;Dizel;Beyaz;2001 - 2500 cm3;151 - 175 HP;Sedan;Belirtilmemiş
1.750.000 TL;Mercedes - Benz;C;C 200 d BlueTEC Fascination;2016.0;187.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Tamamı orjinal
1.249.000 TL;Mercedes - Benz;A;A 180 BlueEFFICIENCY AMG Sport;2013.0;169.000 km;Yarı Otomatik;50 lt;Beyaz;1595 cc;122 hp;Hatchback/5;1 değişen, 3 boyalı
3.320.000 TL;Mercedes - Benz;CLA;200 AMG;2023.0;33.000 km;Yarı Otomatik;43 lt;Beyaz;1332 cc;163 hp;Coupe;Tamamı orjinal
7.000.000 TL;Mercedes - Benz;CLS;300 D AMG;2023.0;24.500 km;Otomatik;66 lt;Siyah;1992 cc;265 hp;Coupe;Tamamı orjinal
1.695.000 TL;Mercedes - Benz;A;A 180 d Style;2020.0;89.000 km;Yarı Otomatik;43 lt;Beyaz;1461 cc;116 hp;Hatchback/5;2 boyalı
1.170.000 TL;Mercedes - Benz;A;A 180 BlueEFFICIENCY Urban;2012.0;203.000 km;Düz;50 lt;Gri;1595 cc;122 hp;Hatchback/5;1 boyalı
2.790.000 TL;Mercedes - Benz;A;A 200 AMG+;2024.0;13.000 km;Otomatik;Hibrit;Gri;1201 - 1400 cm3;-;Hatchback/5;Belirtilmemiş
1.129.950 TL;Mercedes - Benz;C;C 180 Kompressor BlueEfficiency Avantgarde;2013.0;178.000 km;Otomatik;Benzin;Beyaz;1401 - 1600 cm3;151 - 175 HP;Sedan;1 değişen, 4 boyalı
1.645.000 TL;Mercedes - Benz;C;C 180 BlueEFFICIENCY AMG;2013.0;140.000 km;Otomatik;Benzin;Beyaz;1401 - 1600 cm3;151 - 175 HP;Sedan;Tamamı orjinal
4.480.000 TL;Mercedes - Benz;E;200 d Exclusive;2020.0;8.000 km;Otomatik;Dizel;Beyaz;1601 - 1800 cm3;151 - 175 HP;Sedan;Tamamı orjinal
2.210.000 TL;Mercedes - Benz;C;C 180 AMG;2018.0;181.000 km;Otomatik;Benzin;Gri;1401 - 1600 cm3;151 - 175 HP;Sedan;1 değişen, 1 boyalı
2.225.000 TL;Mercedes - Benz;E;180 Elite;2014.0;111.300 km;Otomatik;59 lt;Beyaz;1595 cc;156 hp;Sedan;Tamamı orjinal
2.080.000 TL;Mercedes - Benz;C;C 200 D AMG;2016.0;109.000 km;Otomatik;41 lt;Siyah;1598 cc;136 hp;Sedan;1 boyalı
3.250.000 TL;Mercedes - Benz;CLS;350 D AMG;2016.0;188.000 km;Otomatik;Dizel;Siyah;2501 - 3000 cm3;251 - 275 HP;Coupe;Tamamı orjinal
3.325.000 TL;Mercedes - Benz;CLA;200 AMG;2024.0;23.000 km;Yarı Otomatik;43 lt;Gri;1332 cc;163 hp;Coupe;Tamamı orjinal
1.295.000 TL;Mercedes - Benz;CLA;200 Style;2014.0;277.000 km;Otomatik;50 lt;Beyaz;1595 cc;156 hp;Coupe;Tamamı orjinal
3.161.000 TL;Mercedes - Benz;CLS;350 D AMG;2016.0;248.000 km;Otomatik;Dizel;Siyah;2501 - 3000 cm3;251 - 275 HP;Coupe;Tamamı orjinal
4.300.000 TL;Mercedes - Benz;E;220 D Exclusive;2017.0;130.000 km;Otomatik;Dizel;Siyah;1801 - 2000 cm3;176 - 200 HP;Sedan;Tamamı orjinal
1.030.000 TL;Mercedes - Benz;C;C 180 Kompressor BlueEfficiency Fascination;2009.0;194.000 km;Otomatik;66 lt;Gri (Gümüş);1597 cc;156 hp;Sedan;2 değişen, 3 boyalı
405.000 TL;Mercedes - Benz;190;190 E 2.0;1989.0;290.000 km;Düz;Benzin;Lacivert;1997 cc;123 hp;Sedan;Belirtilmemiş
1.475.000 TL;Mercedes - Benz;C;C 200 d BlueTEC AMG;2015.0;320.159 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Belirtilmemiş
2.750.000 TL;Mercedes - Benz;CLA;200 AMG;2019.0;94.000 km;Yarı Otomatik;43 lt;Beyaz;1332 cc;163 hp;Cabrio;1 değişen
1.865.000 TL;Mercedes - Benz;C;C 200 d BlueTEC Comfort;2016.0;124.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Belirtilmemiş
1.150.000 TL;Mercedes - Benz;S;S 320 320 L;2000.0;320.000 km;Otomatik;88 lt;Mavi;3199 cc;224 hp;Sedan;11 boyalı
2.950.000 TL;Mercedes - Benz;CLA;200 AMG+ 4Matic;2021.0;52.000 km;Yarı Otomatik;51 lt;Beyaz;1332 cc;163 hp;Coupe;Tamamı orjinal
2.075.000 TL;Mercedes - Benz;C;C 200 d BlueTEC AMG;2017.0;145.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Tamamı orjinal
1.415.000 TL;Mercedes - Benz;A;A 180 d AMG;2016.0;225.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;1 değişen
245.000 TL;Mercedes - Benz;280;SE;1985.0;483.500 km;Otomatik;LPG & Benzin;Kahverengi;2501 - 3000 cm3;201 - 225 HP;Sedan;Tamamı orjinal
2.250.000 TL;Mercedes - Benz;C;C 200 D Exclusive;2018.0;187.000 km;Otomatik;66 lt;Lacivert;1598 cc;160 hp;Sedan;Belirtilmemiş
1.750.000 TL;Mercedes - Benz;C;C 200 D AMG;2016.0;205.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Belirtilmemiş
615.000 TL;Mercedes - Benz;E;200 Avantgarde;1998.0;515.000 km;Otomatik;LPG & Benzin;Lacivert;1801 - 2000 cm3;126 - 150 HP;Sedan;1 değişen, 9 boyalı
1.795.000 TL;Mercedes - Benz;E;250 CGI AMG Premium;2011.0;100.600 km;Otomatik;59 lt;Gri;1796 cc;204 hp;Sedan;Belirtilmemiş
489.000 TL;Mercedes - Benz;E;200;1995.0;380.000 km;Düz;LPG & Benzin;Beyaz;1997 cc;136 hp;Sedan;9 boyalı
1.399.000 TL;Mercedes - Benz;C;C 180 AMG;2012.0;208.000 km;Otomatik;67 lt;Gri (Gümüş);1796 cc;156 hp;Sedan;Tamamı orjinal
3.198.950 TL;Mercedes - Benz;E;180 Exclusive;2017.0;79.000 km;Otomatik;50 lt;Siyah;1595 cc;156 hp;Sedan;Belirtilmemiş
2.220.000 TL;Mercedes - Benz;C;C 200 D AMG;2020.0;119.800 km;Otomatik;41 lt;Gri;1598 cc;136 hp;Sedan;2 boyalı
510.000 TL;Mercedes - Benz;A;A 150 Polarstar;2006.0;190.000 km;Otomatik;54 lt;Siyah;1498 cc;95 hp;Hatchback/5;2 değişen, 10 boyalı
2.440.000 TL;Mercedes - Benz;C;C 180 AMG;2018.0;130.000 km;Otomatik;Benzin;Lacivert;1401 - 1600 cm3;151 - 175 HP;Sedan;1 boyalı
1.430.000 TL;Mercedes - Benz;CLA;200 AMG;2014.0;285.000 km;Otomatik;50 lt;Beyaz;1595 cc;156 hp;Coupe;1 değişen, 2 boyalı
1.460.000 TL;Mercedes - Benz;A;A 180 BlueEFFICIENCY Urban;2014.0;142.000 km;Yarı Otomatik;50 lt;Beyaz;1595 cc;122 hp;Hatchback/5;Tamamı orjinal
1.215.000 TL;Mercedes - Benz;C;C 180 Kompressor BlueEFFICIENCY AMG;2011.0;153.000 km;Otomatik;66 lt;Beyaz;1597 cc;156 hp;Sedan;1 değişen, 4 boyalı
1.549.000 TL;Mercedes - Benz;CLA;180 D AMG;2015.0;210.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Coupe;Belirtilmemiş
1.539.000 TL;Mercedes - Benz;C;C 200 D Comfort;2017.0;175.000 km;Otomatik;41 lt;Füme;1598 cc;136 hp;Sedan;6 boyalı
2.550.000 TL;Mercedes - Benz;E;250 CDI Edition;2015.0;273.000 km;Otomatik;59 lt;Lacivert;2143 cc;204 hp;Sedan;2 boyalı
2.320.000 TL;Mercedes - Benz;C;C 200 D AMG;2018.0;143.750 km;Otomatik;Dizel;Siyah;1401 - 1600 cm3;126 - 150 HP;Sedan;1 boyalı
4.210.000 TL;Mercedes - Benz;E;200 d Exclusive;2022.0;118.000 km;Otomatik;50 lt;Siyah;1597 cc;160 hp;Sedan;Tamamı orjinal
517.500 TL;Mercedes - Benz;C;C 220 CDI Elegance;2001.0;333.150 km;Düz;62 lt;Gri (Gümüş);2148 cc;143 hp;Sedan;9 boyalı
2.025.000 TL;Mercedes - Benz;E;180 Elite;2014.0;181.000 km;Otomatik;59 lt;Beyaz;1595 cc;156 hp;Sedan;Tamamı orjinal
400.000 TL;Mercedes - Benz;190;190 D 2.0;1987.0;310.710 km;Düz;55 lt;Bordo;1997 cc;72 hp;Sedan;Tamamı boyalı
610.000 TL;Mercedes - Benz;A;A 150 Avantgarde;2006.0;214.500 km;Otomatik;Benzin;Beyaz;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;1 değişen, 2 boyalı
6.350.000 TL;Mercedes - Benz;S;S 400 400 d AMG;2017.0;265.000 km;Otomatik;70 lt;Siyah;2925 cc;340 hp;Sedan;Tamamı orjinal
4.345.000 TL;Mercedes - Benz;C;C 200 AMG;2024.0;21.000 km;Otomatik;50 lt;Siyah;1496 cc;204 hp;Sedan;Tamamı orjinal
1.375.000 TL;Mercedes - Benz;SLK;200 Kompressor;2009.0;117.000 km;Otomatik;70 lt;Siyah;1796 cc;184 hp;Roadster;Belirtilmemiş
2.200.000 TL;Mercedes - Benz;C;C 200 D AMG;2016.0;236.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Tamamı orjinal
255.500 TL;Mercedes - Benz;C;C 180 Classic;1994.0;403.000 km;Düz;62 lt;Kırmızı;1799 cc;122 hp;Sedan;Belirtilmemiş
575.000 TL;Mercedes - Benz;E;200 Avantgarde;1998.0;347.000 km;Otomatik;65 lt;Gri;1998 cc;136 hp;Sedan;2 değişen
635.000.000 TL;Mercedes - Benz;Maybach S;S 650;2022.0;6.001 km;Otomatik;80 lt;Siyah;5980 cc;630 hp;Sedan;Tamamı orjinal
550.000 TL;Mercedes - Benz;E;200 Elegance;1997.0;500.000 km;Otomatik;65 lt;Siyah;1998 cc;136 hp;Sedan;11 boyalı
769.000 TL;Mercedes - Benz;E;200 Kompressor Avantgarde;2000.0;554.000 km;Otomatik;65 lt;Gri (Gümüş);1998 cc;186 hp;Sedan;10 boyalı
430.000 TL;Mercedes - Benz;250;D;1986.0;403.000 km;Düz;Dizel;Gri (Gümüş);2501 - 3000 cm3;126 - 150 HP;Sedan;Tamamı boyalı
1.550.000 TL;Mercedes - Benz;C;C 200 D AMG;2016.0;195.000 km;Otomatik;41 lt;Kırmızı;1598 cc;136 hp;Sedan;3 değişen, 1 boyalı
2.165.000 TL;Mercedes - Benz;C;C 200 D Comfort;2018.0;108.000 km;Otomatik;41 lt;Gri (titanyum);1598 cc;136 hp;Sedan;Tamamı orjinal
2.350.000 TL;Mercedes - Benz;C;C 200 D AMG;2017.0;89.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Tamamı orjinal
1.650.000 TL;Mercedes - Benz;E;200 CGI BlueEFFICIENCY Elegance;2010.0;318.000 km;Düz;66 lt;Siyah;1796 cc;184 hp;-;Belirtilmemiş
1.720.000 TL;Mercedes - Benz;CLA;180 D Urban;2016.0;124.000 km;Otomatik;Dizel;Gri (titanyum);;;Coupe;Belirtilmemiş
1.290.000 TL;Mercedes - Benz;B;B 180 BlueEFFICIENCY Prime;2013.0;72.050 km;Yarı Otomatik;56 lt;Beyaz;1595 cc;122 hp;MPV;Tamamı orjinal
310.000 TL;Mercedes - Benz;200;E;1989.0;578.000 km;Otomatik;LPG & Benzin;Siyah;1801 - 2000 cm3;126 - 150 HP;Sedan;Belirtilmemiş
485.900 TL;Mercedes - Benz;E;200;1973.0;77.000 km;Düz;LPG & Benzin;Kırmızı;2000 cc;95 hp;Sedan;11 boyalı
1.800.000 TL;Mercedes - Benz;B;B 180 Style;2019.0;60.000 km;Yarı Otomatik;43 lt;Beyaz;1332 cc;136 hp;MPV;Tamamı orjinal
980.000 TL;Mercedes - Benz;C;C 180 BlueEfficiency Start;2011.0;258.000 km;Otomatik;67 lt;Siyah;1796 cc;156 hp;Sedan;Tamamı orjinal
2.300.000 TL;Mercedes - Benz;CLA;180 CDI AMG;2018.0;85.000 km;Otomatik;Dizel;Gri;;;Sedan;Belirtilmemiş
2.080.000 TL;Mercedes - Benz;E;250 AMG;2015.0;183.087 km;Otomatik;Benzin;Gri;-;-;Coupe;2 boyalı
1.625.000 TL;Mercedes - Benz;C;C 180 BlueEFFICIENCY Avantgarde;2012.0;153.000 km;Otomatik;59 lt;Beyaz;1595 cc;156 hp;Sedan;1 değişen, 1 boyalı
3.550.000 TL;Mercedes - Benz;CLA;200 AMG+ 4Matic;2023.0;48.000 km;Yarı Otomatik;51 lt;Beyaz;1332 cc;163 hp;Coupe;Tamamı orjinal
1.185.000 TL;Mercedes - Benz;B;B 180 d Urban;2015.0;223.000 km;Yarı Otomatik;56 lt;Beyaz;1461 cc;109 hp;MPV;Belirtilmemiş
1.000.000 TL;Mercedes - Benz;E;220 CDI Avantgarde;2004.0;437.000 km;Otomatik;80 lt;Siyah;2148 cc;150 hp;Sedan;6 boyalı
1.585.000 TL;Mercedes - Benz;300;SEL;1987.0;301.000 km;Otomatik;LPG & Benzin;Mavi (metalik);2501 - 3000 cm3;151 - 175 HP;Sedan;Belirtilmemiş
1.580.000 TL;Mercedes - Benz;C;C 180 BlueEFFICIENCY AMG;2011.0;179.000 km;Otomatik;67 lt;Beyaz;1796 cc;156 hp;Sedan;Belirtilmemiş
310.000 TL;Mercedes - Benz;200;E;1992.0;443.650 km;Düz;70 lt;Bej;1997 cc;136 hp;Sedan;Belirtilmemiş
1.580.000 TL;Mercedes - Benz;C;C 200 D AMG;2015.0;269.770 km;Otomatik;41 lt;Gri;1598 cc;136 hp;Sedan;3 boyalı
1.250.000 TL;Mercedes - Benz;E;200 Kompressor Avantgarde;2005.0;340.000 km;Otomatik;65 lt;Gri (Gümüş);1998 cc;163 hp;Sedan;Tamamı orjinal
750.000 TL;Mercedes - Benz;E;240 Elegance;2004.0;276.000 km;Otomatik;80 lt;Gri (metalik);2597 cc;177 hp;Sedan;2 değişen, 2 boyalı
400.000 TL;Mercedes - Benz;E;200 d E 200 d;1987.0;327.000 km;Otomatik;Dizel;Beyaz;;;Sedan;Belirtilmemiş
447.000 TL;Mercedes - Benz;A;A 160 CDI Elegance;2009.0;327.400 km;Düz;54 lt;Siyah;1991 cc;82 hp;Hatchback/3;Belirtilmemiş
2.548.000 TL;Mercedes - Benz;C;C 180 AMG 9G-Tronic;2017.0;73.000 km;Otomatik;41 lt;Beyaz;1595 cc;156 hp;Sedan;Tamamı orjinal
475.000 TL;Mercedes - Benz;200;E;1991.0;490.000 km;Düz;70 lt;Siyah;1997 cc;118 hp;Sedan;1 değişen, 5 boyalı
700.000 TL;Mercedes - Benz;B;B 150 Prestige;2009.0;189.000 km;Otomatik;54 lt;Siyah;1498 cc;95 hp;MPV;1 değişen, 6 boyalı
2.100.000 TL;Mercedes - Benz;C;C 200 d BlueTEC Exclusive;2015.0;189.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;Tamamı orjinal
1.415.000 TL;Mercedes - Benz;CLA;200 Urban;2013.0;251.500 km;Otomatik;50 lt;Beyaz;1595 cc;156 hp;Coupe;3 boyalı
1.740.000 TL;Mercedes - Benz;C;C 200 D AMG;2015.0;176.000 km;Otomatik;41 lt;Beyaz;1598 cc;136 hp;Sedan;3 boyalı
1.715.000 TL;Mercedes - Benz;A;A 180 CDI BlueEFFICIENCY Urban;2014.0;6.001 km;Yarı Otomatik;50 lt;Gri (Gümüş);1461 cc;109 hp;Hatchback/5;Tamamı orjinal
1.150.000 TL;Mercedes - Benz;CLA;180 CDI Urban;2014.0;223.000 km;Otomatik;50 lt;Beyaz;1462 cc;109 hp;Coupe;2 değişen, 3 boyalı
880.000 TL;Mercedes - Benz;C;C 180 Kompressor BlueEfficiency Luxury;2010.0;337.000 km;Otomatik;66 lt;Siyah;1597 cc;156 hp;Sedan;Tamamı orjinal
420.000 TL;Mercedes - Benz;E;200;1990.0;580.000 km;Düz;Benzin;Gri;1997 cc;109 hp;Sedan;Belirtilmemiş
